,CLOSE
2015-08-10,11100.0
2015-08-11,11100.0
2015-08-12,10650.0
2015-08-13,10700.0
2015-08-14,10800.0
2015-08-17,10700.0
2015-08-18,10700.0
2015-08-19,10600.0
2015-08-20,10500.0
2015-08-21,10600.0
2015-08-24,10500.0
2015-08-25,10100.0
2015-08-26,10100.0
2015-08-27,10100.0
2015-08-28,10200.0
2015-08-31,10200.0
2015-09-01,10200.0
2015-09-02,10100.0
2015-09-07,10100.0
2015-09-08,10100.0
2015-09-09,10400.0
2015-09-10,10300.0
2015-09-11,10600.0
2015-09-14,10600.0
2015-09-15,10500.0
2015-09-16,10400.0
2015-09-17,10500.0
2015-09-18,10500.0
2015-09-21,10400.0
2015-09-22,10500.0
2015-09-23,10400.0
2015-09-24,10400.0
2015-09-25,10500.0
2015-09-28,10500.0
2015-09-29,10200.0
2015-09-30,10200.0
2015-10-08,10400.0
2015-10-09,10400.0
2015-10-12,10600.0
2015-10-13,10500.0
2015-10-14,10500.0
2015-10-15,10600.0
2015-10-16,10500.0
2015-10-19,10300.0
2015-10-20,10250.0
2015-10-21,10250.0
2015-10-22,10250.0
2015-10-23,10250.0
2015-10-26,10200.0
2015-10-27,9800.0
2015-10-28,9800.0
2015-10-29,9800.0
2015-10-30,9600.0
2015-11-02,9600.0
2015-11-03,9600.0
2015-11-04,9500.0
2015-11-05,9500.0
2015-11-06,9400.0
2015-11-09,9400.0
2015-11-10,9400.0
2015-11-11,9400.0
2015-11-12,9400.0
2015-11-13,9500.0
2015-11-16,9450.0
2015-11-17,9350.0
2015-11-18,9350.0
2015-11-19,9250.0
2015-11-20,9250.0
2015-11-23,9000.0
2015-11-24,8900.0
2015-11-25,9000.0
2015-11-26,9300.0
2015-11-27,9300.0
2015-11-30,9100.0
2015-12-01,9300.0
2015-12-02,9600.0
2015-12-03,9400.0
2015-12-04,9400.0
2015-12-07,9600.0
2015-12-08,9500.0
2015-12-09,9500.0
2015-12-10,9500.0
2015-12-11,9300.0
2015-12-14,9400.0
2015-12-15,9500.0
2015-12-16,9400.0
2015-12-17,9500.0
2015-12-18,9500.0
2015-12-21,9600.0
2015-12-22,9700.0
2015-12-23,9700.0
2015-12-24,9800.0
2015-12-25,9800.0
2015-12-28,9800.0
2015-12-29,9800.0
2015-12-30,9800.0
2015-12-31,9700.0
2016-01-04,9400.0
2016-01-05,9400.0
2016-01-06,9500.0
2016-01-07,9400.0
2016-01-08,9500.0
2016-01-11,9400.0
2016-01-12,9300.0
2016-01-13,9300.0
2016-01-14,9400.0
2016-01-15,9500.0
2016-01-18,9500.0
2016-01-19,9550.0
2016-01-20,9750.0
2016-01-21,9700.0
2016-01-22,9750.0
2016-01-25,9750.0
2016-01-26,9600.0
2016-01-27,9800.0
2016-01-28,9700.0
2016-01-29,9650.0
2016-02-01,9700.0
2016-02-02,9600.0
2016-02-03,9600.0
2016-02-04,9600.0
2016-02-05,9600.0
2016-02-15,9700.0
2016-02-16,10100.0
2016-02-17,9950.0
2016-02-18,9950.0
2016-02-19,9700.0
2016-02-22,10200.0
2016-02-23,10100.0
2016-02-24,10100.0
2016-02-25,10250.0
2016-02-26,9950.0
2016-02-29,9800.0
2016-03-01,9800.0
2016-03-02,9900.0
2016-03-03,10100.0
2016-03-04,10600.0
2016-03-07,11200.0
2016-03-08,10950.0
2016-03-09,10750.0
2016-03-10,10900.0
2016-03-11,10900.0
2016-03-14,11100.0
2016-03-15,10900.0
2016-03-16,10750.0
2016-03-17,10900.0
2016-03-18,11300.0
2016-03-21,11050.0
2016-03-22,11000.0
2016-03-23,10900.0
