datetime,open,high,low,close,volume
2009/9/28 15:00:00,17180,17230,17110,17225,134
2009/9/29 9:30:00,17290,17495,17270,17460,182
2009/9/29 10:00:00,17485,17485,17410,17465,118
2009/9/29 10:15:00,17470,17470,17440,17440,26
2009/9/29 11:00:00,17440,17440,17320,17340,48
2009/9/29 11:30:00,17330,17380,17330,17350,74
2009/9/29 14:00:00,17350,17650,17350,17640,378
2009/9/29 14:30:00,17590,17675,17560,17650,286
2009/9/29 15:00:00,17655,17710,17595,17670,196
2009/9/30 9:30:00,17745,18660,17745,18385,326
2009/9/30 10:00:00,18415,18460,18365,18460,178
2009/9/30 10:15:00,18420,18420,18400,18410,16
2009/9/30 11:00:00,18400,18410,18330,18330,142
2009/9/30 11:30:00,18335,18340,18280,18330,116
2009/9/30 14:00:00,18360,18360,18280,18290,128
2009/9/30 14:30:00,18280,18600,18280,18430,220
2009/9/30 15:00:00,18440,18650,18440,18600,278
2009/10/9 9:30:00,19680,19680,19355,19400,170
2009/10/9 10:00:00,19410,19415,19295,19365,166
2009/10/9 10:15:00,19365,19400,19340,19400,64
2009/10/9 11:00:00,19400,19400,19340,19355,172
2009/10/9 11:30:00,19355,19400,19350,19355,40
2009/10/9 14:00:00,19340,19385,19340,19345,36
2009/10/9 14:30:00,19345,19410,19335,19400,48
2009/10/9 15:00:00,19400,19435,19300,19300,106
2009/10/12 9:30:00,19390,19475,19260,19300,1204
2009/10/12 10:00:00,19330,19330,19250,19290,276
2009/10/12 10:15:00,19290,19315,19290,19315,22
2009/10/12 11:00:00,19330,19465,19290,19460,274
2009/10/12 11:30:00,19450,19550,19425,19525,190
2009/10/12 14:00:00,19520,19570,19480,19535,312
2009/10/12 14:30:00,19545,19550,19470,19500,140
2009/10/12 15:00:00,19470,19490,19420,19450,232
2009/10/13 9:30:00,19530,19530,19360,19400,232
2009/10/13 10:00:00,19385,19515,19385,19500,614
2009/10/13 10:15:00,19495,19550,19480,19550,66
2009/10/13 11:00:00,19550,19565,19525,19530,100
2009/10/13 11:30:00,19525,19560,19510,19510,70
2009/10/13 14:00:00,19520,19575,19490,19575,330
2009/10/13 14:30:00,19575,19580,19525,19550,94
2009/10/13 15:00:00,19550,19650,19530,19645,560
2009/10/14 9:30:00,19620,19990,19565,19585,584
2009/10/14 10:00:00,19585,19585,19430,19540,276
2009/10/14 10:15:00,19550,19565,19535,19550,50
2009/10/14 11:00:00,19565,19600,19520,19545,112
2009/10/14 11:30:00,19545,19580,19545,19550,66
2009/10/14 14:00:00,19575,19585,19535,19560,232
2009/10/14 14:30:00,19560,19640,19510,19550,664
2009/10/14 15:00:00,19550,19580,19515,19550,300
2009/10/15 9:30:00,19500,19700,19500,19625,198
2009/10/15 10:00:00,19630,19635,19590,19590,50
2009/10/15 10:15:00,19605,19610,19600,19605,22
2009/10/15 11:00:00,19620,19640,19515,19525,102
2009/10/15 11:30:00,19525,19550,19475,19505,218
2009/10/15 14:00:00,19480,19480,19365,19405,340
2009/10/15 14:30:00,19405,19405,19300,19320,180
2009/10/15 15:00:00,19325,19350,19270,19295,296
2009/10/16 9:30:00,19380,19515,19380,19455,238
2009/10/16 10:00:00,19435,19460,19370,19390,78
2009/10/16 10:15:00,19405,19425,19350,19365,68
2009/10/16 11:00:00,19390,19480,19390,19420,216
2009/10/16 11:30:00,19420,19430,19385,19400,50
2009/10/16 14:00:00,19365,19365,19260,19290,262
2009/10/16 14:30:00,19300,19365,19280,19350,132
2009/10/16 15:00:00,19340,19445,19305,19395,80
2009/10/19 9:30:00,19375,19500,19360,19470,568
2009/10/19 10:00:00,19450,19515,19450,19505,138
2009/10/19 10:15:00,19550,19560,19530,19550,78
